"year","make","model","mileage","normalized_color","transmission","sold_price","bid_amount","end_date","bidders","watchers","comments","status"
"1993","Porsche","968 Coupe","36000","Green","automatic","27968","27968","2024-12-22 05:00:00","36","955","61","sold"
"1999","Porsche","911 Carrera Coupe 6-Speed","82000","White","manual","31250","31250","2024-12-22 05:00:00","9","732","54","sold"
"2024","Porsche","718 Cayman GT4 RS Weissach","1500","Blue","automatic","207000","207000","2024-12-21 05:00:00","38","1687","61","sold"
"2016","Porsche","Cayenne Turbo S","44000","Black","automatic","65100","65100","2024-12-21 05:00:00","31","925","50","sold"
"2019","Porsche","911 GT3 RS","2400","Black","automatic","240000","240000","2024-12-21 05:00:00","56","1493","80","sold"
"1968","Porsche","911L Targa Project","4300","Beige","manual","15000","15000","2024-12-21 05:00:00","22","655","75","sold"
"2004","Porsche","Cayenne S","64000","Black","automatic","14000","14000","2024-12-21 05:00:00","50","626","62","sold"
"1985","Porsche","911 Carrera Coupe","105000","Black","manual","75000","75000","2024-12-21 05:00:00","27","1463","53","sold"
"2011","Porsche","911 GT3 Cup","7000","White","automatic","61000","61000","2024-12-20 05:00:00","5","897","62","sold"
"1996","Porsche","911 Carrera Targa 6-Speed","31000","Blue","manual","160000","160000","2024-12-20 05:00:00","40","1854","89","sold"
"1973","Porsche","911T Coupe Project","null","Yellow","manual","32000","32000","2024-12-20 05:00:00","35","1144","58","sold"
"1964","Porsche","356C Coupe Project","22000","null","manual","53500","53500","2024-12-20 05:00:00","32","1169","52","sold"
"2006","Porsche","911 Carrera 4S Cabriolet 6-Speed","25000","Blue","manual","73000","73000","2024-12-20 05:00:00","28","1385","42","sold"
"2005","Porsche","911 Carrera S Coupe 6-Speed","45000","Black","manual","42250","42250","2024-12-20 05:00:00","13","1115","26","sold"
"1989","Porsche","911 Carrera Coupe G50","27000","Black","manual","138000","138000","2024-12-20 05:00:00","27","2038","108","sold"
"2011","Porsche","Panamera 4S","43000","Silver","automatic","28250","28250","2024-12-20 05:00:00","22","628","18","sold"
"2020","Porsche","911 Carrera S Coupe","39000","Black","automatic","null","92000","2024-12-20 05:00:00","35","964","29","unsold"
"2013","Porsche","Cayenne Diesel","115000","White","automatic","16700","16700","2024-12-20 05:00:00","17","556","26","sold"
"1996","Porsche","911 Carrera 4 Coupe 6-Speed","31000","Black","manual","100000","100000","2024-12-20 05:00:00","19","1438","42","sold"
"2006","Porsche","Cayman S 6-Speed","117000","Blue","manual","23750","23750","2024-12-20 05:00:00","28","918","35","sold"
"2012","Porsche","Cayman S","126000","Blue","automatic","28250","28250","2024-12-19 05:00:00","31","1003","36","sold"
"2001","Porsche","Boxster 5-Speed","61000","Black","manual","null","4900","2024-12-19 05:00:00","10","406","27","unsold"
"2015","Porsche","911 Turbo S Cabriolet","41000","Black","automatic","101000","101000","2024-12-19 05:00:00","45","761","35","sold"
"1979","Porsche","911SC Targa","182000","Blue","manual","35911","35911","2024-12-19 05:00:00","20","1415","67","sold"
"1991","Porsche","911 Carrera 2 Cabriolet 5-Speed","108000","White","manual","83000","83000","2024-12-19 05:00:00","33","801","52","sold"
"1962","Porsche","-Diesel Super 329 Tractor","null","Beige","manual","null","20000","2024-12-19 05:00:00","2","279","30","unsold"
"2021","Porsche","718 Cayman GT4 6-Speed","13000","Silver","manual","113718","113718","2024-12-19 05:00:00","22","1208","56","sold"
"2018","Porsche","911 Targa 4S","1200","White","automatic","134000","134000","2024-12-18 05:00:00","34","1301","35","sold"
